NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Eastchester-Dyre Av,40.88829999901007,-73.8308340021742,0.0,0.0,0.0,0.0
Baychester Av,40.87866300037311,-73.83859099802153,0.0,0.0,0.0,0.0
Gun Hill Rd,40.86952599962676,-73.84638400151765,0.0,0.0,0.0,0.0
Pelham Pkwy,40.858984999820116,-73.85535900043564,0.0,0.0,Not working,skip
Morris Park,40.85436399966426,-73.86049500117254,0.0,0.0,0.0,0.0
Pelham Pkwy,40.8571924091606,-73.86748067850041,0.0,0.0,0.0,0.0
Allerton Av,40.86548337793927,-73.86723422851625,0.0,0.0,0.0,0.0
Burke Av,40.87125880254771,-73.86705361747603,0.0,0.0,0.0,0.0
Gun Hill Rd,40.877839385172024,-73.86613410538703,0.0,0.0,0.0,0.0
219 St,40.883887974625274,-73.8625097078866,0.0,0.0,Not working,skip
225 St,40.88802825863786,-73.86021461772737,0.0,0.0,0.0,0.0
233 St,40.89314324138378,-73.85736239521543,0.0,0.0,0.0,0.0
Nereid Av (238 St),40.898286515575286,-73.8543153107622,0.0,0.0,0.0,0.0
Bronx Park East,40.848768666338934,-73.86835609178098,0.0,0.0,0.0,0.0
E 180 St,40.8418630412186,-73.87334609510884,0.0,0.0,0.0,0.0
West Farms Sq-E Tremont Av,40.84020763241799,-73.87996127877184,0.0,0.0,0.0,0.0
174 St,40.837195550170605,-73.88769359812888,0.0,0.0,0.0,0.0
Freeman St,40.829987446384116,-73.89175225349464,0.0,0.0,0.0,0.0
Simpson St,40.823976841237396,-73.89306639507903,0.0,0.0,0.0,0.0
Intervale Av,40.822142131170786,-73.89661738461646,0.0,0.0,0.0,0.0
Prospect Av,40.81948726483844,-73.90177778730917,0.0,0.0,0.0,0.0
Jackson Av,40.81643746686396,-73.9077019387083,0.0,0.0,0.0,0.0
3 Av-149 St,40.816029252510006,-73.91779152760981,0.0,0.0,0.0,0.0
149 St-Grand Concourse,40.81833014409742,-73.92672247438611,0.0,0.0,Not working,skip
138 St-Grand Concourse,40.81322399958908,-73.92984899935611,0.0,0.0,0.0,0.0
125 St,40.804138000587244,-73.93759400055725,0.0,0.0,0.0,0.0
86 St,40.77949199820952,-73.95558899985132,0.0,0.0,0.0,0.0
Lexington Av-59 St,40.762526000304575,-73.9679670004732,0.0,0.0,0.0,0.0
Grand Central-42 St,40.75180742981634,-73.9767132992584,0.0,0.0,0.0,0.0
Union Sq-14 St,40.734673000996125,-73.98995099881881,0.0,0.0,0.0,0.0
Brooklyn Bridge-City Hall,40.713064999433136,-74.0041310005885,0.0,0.0,0.0,0.0
Fulton St,40.710367998822136,-74.00950899856461,0.0,0.0,0.0,0.0
Wall St,40.70755700086603,-74.01186199860112,0.0,0.0,0.0,0.0
Bowling Green,40.70491399928076,-74.01400799803432,0.0,0.0,0.0,0.0
Borough Hall,40.692403999991036,-73.99015100090539,0.0,0.0,0.0,0.0
Nevins St,40.68831058019022,-73.98040679874578,0.0,0.0,0.0,0.0
Atlantic Av-Barclay's Center,40.68442016526762,-73.97754993539385,0.0,0.0,0.0,0.0
Franklin Av,40.67076515344894,-73.9580997367769,0.0,0.0,0.0,0.0
President St,40.667883603536815,-73.95058920022207,0.0,0.0,0.0,0.0
Sterling St,40.6627729934283,-73.95072891124937,0.0,0.0,0.0,0.0
Winthrop St,40.65665931376077,-73.95007934590994,0.0,0.0,0.0,0.0
Church Av,40.6508606878022,-73.94945514035334,0.0,0.0,0.0,0.0
Beverly Rd,40.64512351894373,-73.94884798381702,0.0,0.0,0.0,0.0
Newkirk Av,40.63999124275311,-73.94829990822407,0.0,0.0,0.0,0.0
Brooklyn College-Flatbush Av,40.63284240700742,-73.94754120734406,0.0,0.0,0.0,0.0
