NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Jamaica Ctr-Parsons / Archer,40.70206737621188,-73.80109632298924,0.0,0.0,0.0,0.0
Sutphin Blvd-Archer Av,40.700382424235,-73.80800471963833,0.0,0.0,0.0,0.0
Jamaica-Van Wyck,40.70289855287313,-73.81701287135405,0.0,0.0,0.0,0.0
Briarwood-Van Wyck Blvd,40.70916181536946,-73.82069263637443,0.0,0.0,0.0,0.0
Kew Gardens-Union Tpke,40.714034819571026,-73.8303702709878,0.0,0.0,0.0,0.0
75 Av,40.71804465348743,-73.83692369387158,0.0,0.0,0.0,0.0
Forest Hills-71 Av,40.72159430953587,-73.84451672012669,0.0,0.0,0.0,0.0
67 Av,40.726505475813006,-73.85286048434907,0.0,0.0,0.0,0.0
63 Dr-Rego Park,40.729763972422425,-73.86161820097203,0.0,0.0,0.0,0.0
Woodhaven Blvd-Queens Mall,40.73309737380972,-73.86943208612348,0.0,0.0,0.0,0.0
Grand Av-Newtown,40.736813418197144,-73.87722085669182,0.0,0.0,0.0,0.0
Elmhurst Av,40.74237007972169,-73.8820347465864,0.0,0.0,0.0,0.0
Jackson Hts-Roosevelt Av,40.74653969115889,-73.89129866519697,0.0,0.0,0.0,0.0
65 St,40.74971952935675,-73.8987883783301,0.0,0.0,0.0,0.0
Northern Blvd,40.752824829236076,-73.90606508052358,0.0,0.0,0.0,0.0
46 St,40.756316952608096,-73.91352174995538,0.0,0.0,0.0,0.0
Steinway St,40.75698735912575,-73.9205264716827,0.0,0.0,0.0,0.0
36 St,40.75196004401078,-73.92901818461539,0.0,0.0,0.0,0.0
Queens Plz,40.74891771986323,-73.93713823965695,0.0,0.0,0.0,0.0
Court Sq-23 St,40.747768121414325,-73.94605470266329,0.0,0.0,0.0,0.0
Lexington Av-53 St,40.75746830782865,-73.96907237490204,0.0,0.0,0.0,0.0
5 Av-53 St,40.76008683231326,-73.9752485052734,0.0,0.0,0.0,0.0
7 Av,40.76297015245628,-73.98169782344476,0.0,0.0,0.0,0.0
50 St,40.76245599925997,-73.98598400026407,0.0,0.0,0.0,0.0
42 St-Port Authority Bus Term,40.757307998551504,-73.98973500085859,0.0,0.0,0.0,0.0
34 St-Penn Station,40.752287000775894,-73.99339099970578,0.0,0.0,0.0,0.0
23 St,40.74590599939995,-73.99804100117201,0.0,0.0,0.0,0.0
14 St,40.740893000193296,-74.00168999937027,0.0,0.0,0.0,0.0
W 4 St-Washington Sq (Upper),40.73233799774325,-74.00049500225435,Not working,no train,Not working,no train
Spring St,40.72622700129312,-74.00373899843763,Not working,no train,Not working,no train
Canal St-Holland Tunnel,40.72082400007119,-74.0052290023424,Not working,no train,Not working,no train
World Trade Center,40.71256392680817,-74.00974461517701,0.0,0.0,0.0,0.0
