NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
8 Av,40.73977666638199,-74.00257800104762,0.0,0.0,0.0,0.0
6 Av,40.73774146981052,-73.99775078874781,0.0,0.0,0.0,0.0
Union Sq-14 St,40.73476331217923,-73.99066976901818,0.0,0.0,0.0,0.0
3 Av,40.73269099971662,-73.98575000112093,0.0,0.0,0.0,0.0
1 Av,40.73097497580066,-73.98168087489128,0.0,0.0,0.0,0.0
Bedford Av,40.71717399858899,-73.95666499806525,0.0,0.0,0.0,0.0
Lorimer St,40.71407200064717,-73.95024799996972,0.0,0.0,0.0,0.0
Graham Av,40.714575998363635,-73.94394399869037,0.0,0.0,0.0,0.0
Grand St,40.71157600064823,-73.94049699874644,0.0,0.0,0.0,0.0
Montrose Av,40.70739106438455,-73.93979284713505,0.0,0.0,0.0,0.0
Morgan Av,40.70615166680729,-73.93314700024209,0.0,0.0,0.0,0.0
Jefferson St,40.706606665988716,-73.9229130000312,0.0,0.0,0.0,0.0
DeKalb Av,40.70369299961644,-73.91823200219723,0.0,0.0,0.0,0.0
Myrtle-Wyckoff Avs,40.699471062427136,-73.9109757182647,0.0,0.0,0.0,0.0
Halsey St,40.69551800114878,-73.90393400118631,0.0,0.0,0.0,0.0
Wilson Av,40.68886654246024,-73.90395860491864,0.0,0.0,0.0,0.0
Bushwick-Aberdeen,40.68286062551184,-73.90526176305106,0.0,0.0,0.0,0.0
Broadway Junction,40.67845624842869,-73.90311757920684,0.0,0.0,0.0,0.0
Atlantic Av,40.67534466640805,-73.9030969995401,0.0,0.0,0.0,0.0
Sutter Av,40.66914500061398,-73.9019160004208,0.0,0.0,0.0,0.0
Livonia Av,40.66405727094644,-73.90056237226057,0.0,0.0,0.0,0.0
New Lots Av,40.65891477368527,-73.89927796057142,0.0,0.0,0.0,0.0
E 105 St,40.65046878544699,-73.89954769388724,0.0,0.0,0.0,0.0
Canarsie-Rockaway Pkwy,40.64665366739528,-73.90185000017287,0.0,0.0,0.0,0.0
