NAME,LINE,lang,long,bound1,reason1,bound2,reason2
New Lots Av,"['3', '4']",40.6663149325969,-73.88411070800329,0.0,0.0,0.0,0.0
Van Siclen Av,"['3', '4']",40.665517963059635,-73.88940491730106,0.0,0.0,0.0,0.0
Pennsylvania Av,"['3', '4']",40.66471445143568,-73.89488591154061,0.0,0.0,0.0,0.0
Junius St,"['3', '4']",40.66358900181724,-73.90244864183562,0.0,0.0,0.0,0.0
Rockaway Av,"['3', '4']",40.66261748815223,-73.90895833584449,0.0,0.0,0.0,0.0
Saratoga Av,"['3', '4']",40.6615297898075,-73.91633025007947,0.0,0.0,0.0,0.0
Sutter Av-Rutland Road,"['3', '4']",40.66476678877493,-73.92252118536001,0.0,0.0,0.0,0.0
Crown Hts-Utica Av,"['3', '4']",40.66897831107809,-73.93293256081851,0.0,0.0,0.0,0.0
Kingston Av,"['3', '4']",40.66948144864978,-73.94215978392963,0.0,0.0,0.0,0.0
Nostrand Av,"['3', '4']",40.66993815093054,-73.9504262489579,0.0,0.0,0.0,0.0
Franklin Av,"['2', '3', '4', '5']",40.67076515344894,-73.9580997367769,0.0,0.0,0.0,0.0
Eastern Pkwy-Bklyn Museum,"['2', '3', '4']",40.67203223545925,-73.96422203748425,0.0,0.0,0.0,0.0
Grand Army Plaza,"['2', '3', '4']",40.6752946951032,-73.9709563319228,0.0,0.0,0.0,0.0
Bergen St,"['2', '3', '4']",40.68086213682956,-73.97499915116808,0.0,0.0,0.0,0.0
Atlantic Av-Barclay's Center,"['2', '3', '4', '5']",40.68442016526762,-73.97754993539385,0.0,0.0,0.0,0.0
Nevins St,"['2', '3', '4', '5']",40.68831058019022,-73.98040679874578,0.0,0.0,0.0,0.0
Hoyt St,"['2', '3']",40.69054418535472,-73.98506379575646,0.0,0.0,0.0,0.0
Borough Hall,"['2', '3']",40.693218999611084,-73.98999799960687,0.0,0.0,0.0,0.0
Clark St,"['2', '3']",40.69746599996469,-73.99308599821961,0.0,0.0,0.0,0.0
Fulton St,"['2', '3']",40.70941599925865,-74.00657099970202,0.0,0.0,0.0,0.0
Wall St,"['2', '3']",40.706820999753376,-74.00909999844257,0.0,0.0,0.0,0.0
Park Pl,"['2', '3']",40.713050999077694,-74.00881099997359,0.0,0.0,0.0,0.0
Chambers St,"['1', '2', '3']",40.71547800011327,-74.00926600170112,0.0,0.0,0.0,0.0
14 St,"['1', '2', '3']",40.737825999728116,-74.00020100063497,0.0,0.0,0.0,0.0
34 St-Penn Station,"['1', '2', '3']",40.75037300003949,-73.99105699913983,0.0,0.0,0.0,0.0
Times Sq-42 St,"['1', '2', '3']",40.75528999995681,-73.98749500051885,0.0,0.0,0.0,0.0
72 St,"['1', '2', '3']",40.77845300068614,-73.98197000159583,0.0,0.0,0.0,0.0
96 St,"['1', '2', '3']",40.79391900121471,-73.97232299915696,0.0,0.0,0.0,0.0
Central Park North (110 St),"['2', '3']",40.79907499977324,-73.95182200176913,0.0,0.0,0.0,0.0
116 St,"['2', '3']",40.802097999133004,-73.94962500096905,0.0,0.0,0.0,0.0
125 St,"['2', '3']",40.807753999182815,-73.94549500011411,0.0,0.0,0.0,0.0
135 St,"['2', '3']",40.8142290003391,-73.94077000106708,0.0,0.0,0.0,0.0
145 St,['3'],40.82042099969279,-73.93624499873299,0.0,0.0,0.0,0.0
Harlem-148 St,['3'],40.82388000080457,-73.93647000005559,0.0,0.0,0.0,0.0
