NAME,LINE,lang,long,bound1,reason1,bound2,reason2
Astor Pl,"['4', '6', '6 Express']",40.73005400028978,-73.99106999861966,0.0,0.0,0.0,0.0
Canal St,"['4', '6', '6 Express']",40.71880300107709,-74.00019299927328,0.0,0.0,0.0,0.0
Buhre Av,"['6', '6 Express']",40.846809998885504,-73.83256900003744,0.0,0.0,0.0,0.0
3 Av-138 St,"['6', '6 Express']",40.81047600117261,-73.92613800014134,0.0,0.0,0.0,0.0
Castle Hill Av,"['6', '6 Express']",40.83425499825462,-73.85122199961472,0.0,0.0,0.0,0.0
Brooklyn Bridge-City Hall,"['4', '5', '6', '6 Express']",40.713064999433136,-74.0041310005885,0.0,0.0,0.0,0.0
Zerega Av,"['6', '6 Express']",40.836488000608156,-73.8470359987544,0.0,0.0,0.0,0.0
Grand Central-42 St,"['4', '5', '6', '6 Express']",40.75180742981634,-73.9767132992584,0.0,0.0,0.0,0.0
33 St,"['4', '6', '6 Express']",40.74608099909145,-73.98207600148947,0.0,0.0,0.0,0.0
96 St,"['4', '6', '6 Express']",40.78567199998607,-73.9510700015425,0.0,0.0,0.0,0.0
77 St,"['4', '6', '6 Express']",40.77362000074615,-73.95987399886047,0.0,0.0,0.0,0.0
Lexington Av-59 St,"['4', '5', '6', '6 Express']",40.762526000304575,-73.9679670004732,0.0,0.0,0.0,0.0
51 St,"['4', '6', '6 Express']",40.75710699989316,-73.97192000069982,0.0,0.0,0.0,0.0
Hunts Point Av,"['6', '6 Express']",40.82094799852307,-73.89054900017344,0.0,0.0,0.0,0.0
Middletown Rd,"['6', '6 Express']",40.84386300128381,-73.83632199755944,0.0,0.0,0.0,0.0
23 St,"['4', '6', '6 Express']",40.739864000474604,-73.98659900207888,0.0,0.0,0.0,0.0
68 St-Hunter College,"['4', '6', '6 Express']",40.76814100049679,-73.96387000158042,0.0,0.0,0.0,0.0
Union Sq-14 St,"['4', '5', '6', '6 Express']",40.734673000996125,-73.98995099881881,0.0,0.0,0.0,0.0
28 St,"['4', '6', '6 Express']",40.743069999259035,-73.98426400110407,0.0,0.0,0.0,0.0
Pelham Bay Park,"['6', '6 Express']",40.85246199951662,-73.82812100059289,0.0,0.0,0.0,0.0
Westchester Sq-E Tremont Av,"['6', '6 Express']",40.839892001013915,-73.84295199925012,0.0,0.0,0.0,0.0
110 St,"['4', '6', '6 Express']",40.795020000113105,-73.94424999687163,0.0,0.0,0.0,0.0
86 St,"['4', '5', '6', '6 Express']",40.77949199820952,-73.95558899985132,0.0,0.0,0.0,0.0
Bleecker St,"['4', '6', '6 Express']",40.72591466682659,-73.99465900006331,0.0,0.0,0.0,0.0
103 St,"['4', '6', '6 Express']",40.79060000008452,-73.94747800152219,0.0,0.0,0.0,0.0
116 St,"['4', '6', '6 Express']",40.7986290002001,-73.9416169983714,0.0,0.0,0.0,0.0
Parkchester,"['6', '6 Express']",40.83322599927859,-73.86081600108396,0.0,0.0,0.0,0.0
Spring St,"['4', '6', '6 Express']",40.72230099999366,-73.99714100006673,0.0,0.0,0.0,0.0
125 St,"['4', '5', '6', '6 Express']",40.804138000587244,-73.93759400055725,0.0,0.0,0.0,0.0
