NAME,LINE,lang,long,bound1,reason1,bound2,reason2
Far Rockaway-Mott Av,['A'],40.603995001687544,-73.75540499924732,0.0,0.0,0.0,0.0
Beach 25 St,['A'],40.60006600105881,-73.76135299762073,0.0,0.0,0.0,0.0
Beach 36 St,['A'],40.59539800166876,-73.76817499939688,0.0,0.0,0.0,0.0
Beach 44 St,['A'],40.59294299908617,-73.77601299999507,0.0,0.0,0.0,0.0
Beach 60 St,['A'],40.59237400121235,-73.7885219980118,0.0,0.0,0.0,0.0
Beach 67 St,['A'],40.59092700078133,-73.7969239998421,0.0,0.0,0.0,0.0
Beach 90 St,"['A', 'S']",40.58809156457325,-73.81365140419632,0.0,0.0,0.0,0.0
Beach 98 St,"['A', 'S']",40.58538569133279,-73.82052058959523,0.0,0.0,0.0,0.0
Beach 105 St,"['A', 'S']",40.58326843810286,-73.82758075034528,0.0,0.0,0.0,0.0
Rockaway Park-Beach 116 St,"['A', 'S']",40.580955865573515,-73.83559008701239,0.0,0.0,0.0,0.0
Broad Channel,"['A', 'S']",40.60840218069683,-73.81583268782963,0.0,0.0,0.0,0.0
Howard Beach-JFK Airport,['A'],40.66047600004959,-73.83030100071032,0.0,0.0,0.0,0.0
Aqueduct-North Conduit Av,['A'],40.668234001699815,-73.83405799948723,0.0,0.0,0.0,0.0
Aqueduct Racetrack,['A'],40.672096999172844,-73.83591899965162,0.0,0.0,0.0,0.0
104 St,"['A', 'S']",40.681711001091195,-73.83768300060997,0.0,0.0,0.0,0.0
111 St,"['A', 'S']",40.68433100001238,-73.83216299845388,0.0,0.0,0.0,0.0
Ozone Park-Lefferts Blvd,"['A', 'S']",40.68595099878361,-73.82579799906613,0.0,0.0,0.0,0.0
Rockaway Blvd,"['A', 'S']",40.680428999588415,-73.8438529979573,0.0,0.0,0.0,0.0
88 St,"['A', 'S']",40.67984300135503,-73.85147000026086,0.0,0.0,0.0,0.0
80 St,"['A', 'S']",40.67937100115432,-73.85899200206335,0.0,0.0,0.0,0.0
Grant Av,"['A', 'S']",40.67704400054478,-73.86504999877702,0.0,0.0,0.0,0.0
Euclid Av,"['A', 'C', 'S']",40.675376998239365,-73.87210600099675,0.0,0.0,0.0,0.0
Shepherd Av,"['A', 'C']",40.6741300014559,-73.88074999747269,0.0,0.0,0.0,0.0
Van Siclen Av,"['A', 'C']",40.67270999906104,-73.8903580002471,0.0,0.0,0.0,0.0
Liberty Av,"['A', 'C']",40.67454199987086,-73.89654800103929,0.0,0.0,0.0,0.0
Broadway Junction,"['A', 'C']",40.67833366608023,-73.90531600055341,0.0,0.0,0.0,0.0
Rockaway Av,"['A', 'C']",40.678339999883505,-73.91194599726617,0.0,0.0,0.0,0.0
Ralph Av,"['A', 'C']",40.678822000873375,-73.92078599933306,0.0,0.0,0.0,0.0
Utica Av,"['A', 'C']",40.67936399950546,-73.93072899914027,0.0,0.0,0.0,0.0
Kingston-Throop Avs,"['A', 'C']",40.67991899941601,-73.94085899871263,0.0,0.0,0.0,0.0
Nostrand Av,"['A', 'C']",40.68043800006226,-73.95042600099683,0.0,0.0,0.0,0.0
Franklin Av,"['A', 'C']",40.68137966658742,-73.95684800014614,0.0,0.0,0.0,0.0
Clinton-Washington Avs,"['A', 'C']",40.68326299912644,-73.96583799857275,0.0,0.0,0.0,0.0
Lafayette Av,"['A', 'C']",40.68611300020567,-73.97394599849406,0.0,0.0,0.0,0.0
Hoyt-Schermerhorn Sts,"['A', 'C', 'G']",40.68840847580642,-73.98503624034139,0.0,0.0,0.0,0.0
Jay St-MetroTech,"['A', 'C', 'F']",40.692470636847084,-73.98721815267317,0.0,0.0,0.0,0.0
High St,"['A', 'C']",40.69933699977884,-73.99053100065458,0.0,0.0,0.0,0.0
Fulton St,"['A', 'C']",40.71016216530185,-74.00762309323994,0.0,0.0,0.0,0.0
Chambers St,"['A', 'C']",40.714111000774025,-74.00858473570133,0.0,0.0,0.0,0.0
Canal St-Holland Tunnel,"['A', 'C', 'E']",40.72082400007119,-74.0052290023424,0.0,0.0,0.0,0.0
Spring St,"['A', 'C', 'E']",40.72622700129312,-74.00373899843763,0.0,0.0,0.0,0.0
W 4 St-Washington Sq (Upper),"['A', 'C', 'E']",40.73233799774325,-74.00049500225435,0.0,0.0,0.0,0.0
14 St,"['A', 'C', 'E']",40.740893000193296,-74.00168999937027,0.0,0.0,0.0,0.0
23 St,"['A', 'C', 'E']",40.74590599939995,-73.99804100117201,0.0,0.0,0.0,0.0
34 St-Penn Station,"['A', 'C', 'E']",40.752287000775894,-73.99339099970578,0.0,0.0,0.0,0.0
42 St-Port Authority Bus Term,"['A', 'C', 'E']",40.757307998551504,-73.98973500085859,0.0,0.0,0.0,0.0
50 St,"['A', 'C', 'E']",40.76245599925997,-73.98598400026407,0.0,0.0,0.0,0.0
59 St-Columbus Circle,"['A', 'B', 'C', 'D']",40.768249531776064,-73.98164872301398,0.0,0.0,0.0,0.0
72 St,"['A', 'B', 'C']",40.77551939729258,-73.976336575218,0.0,0.0,0.0,0.0
81 St,"['A', 'B', 'C']",40.78134608418206,-73.97209794937208,0.0,0.0,0.0,0.0
86 St,"['A', 'B', 'C']",40.78582304678557,-73.96882849429672,0.0,0.0,0.0,0.0
96 St,"['A', 'B', 'C']",40.79161879767014,-73.96460245687166,0.0,0.0,0.0,0.0
103 St,"['A', 'B', 'C']",40.796060739904526,-73.96137008267617,0.0,0.0,0.0,0.0
Cathedral Pkwy (110 St),"['A', 'B', 'C']",40.800581558114956,-73.95806670661364,0.0,0.0,0.0,0.0
116 St,"['A', 'B', 'C']",40.80505813344211,-73.95479778057312,0.0,0.0,0.0,0.0
125 St,"['A', 'B', 'C', 'D']",40.811071672994565,-73.95224799734774,0.0,0.0,0.0,0.0
135 St,"['A', 'B', 'C']",40.817905559212676,-73.94753480879213,0.0,0.0,0.0,0.0
145 St,"['A', 'B', 'C', 'D']",40.824766360871905,-73.94408792823116,0.0,0.0,0.0,0.0
155 St,"['A', 'C']",40.83051799929251,-73.94151400082208,0.0,0.0,0.0,0.0
163 St-Amsterdam Av,"['A', 'C']",40.83601299923096,-73.93989200188344,0.0,0.0,0.0,0.0
168 St,"['A', 'C']",40.84071899990795,-73.93956099985425,0.0,0.0,0.0,0.0
175 St,['A'],40.84739100072403,-73.93970399761596,0.0,0.0,0.0,0.0
181 St,['A'],40.851694999744616,-73.93796900205011,0.0,0.0,0.0,0.0
190 St,['A'],40.85902199892482,-73.93417999964333,0.0,0.0,0.0,0.0
Dyckman St,['A'],40.865490998968916,-73.92727099960726,0.0,0.0,0.0,0.0
Inwood-207 St,['A'],40.86807199999737,-73.91989900100465,0.0,0.0,0.0,0.0
