NAME,LINE,lang,long,bound1,reason1,bound2,reason2
DeKalb Av,"['B', 'D', 'N', 'Q', 'R']",40.690648119969794,-73.98177094440949,0.0,0.0,0.0,0.0
182-183 Sts,"['B', 'D']",40.85609299881864,-73.90074099998965,0.0,0.0,0.0,0.0
174-175 Sts,"['B', 'D']",40.84589999983414,-73.91013600050078,0.0,0.0,0.0,0.0
167 St,"['B', 'D']",40.83376899862797,-73.91843200082253,0.0,0.0,0.0,0.0
Union St,"['D', 'N', 'R']",40.67731566735096,-73.98310999909673,0.0,0.0,0.0,0.0
Kingsbridge Rd,"['B', 'D']",40.86697799999945,-73.8935090000331,0.0,0.0,0.0,0.0
42 St-Bryant Pk,"['B', 'D', 'F', 'M']",40.754184001312545,-73.98459099904711,0.0,0.0,0.0,0.0
55 St,['D'],40.63147876093745,-73.99534882595742,0.0,0.0,0.0,0.0
W 4 St-Washington Sq (Lower),"['B', 'D', 'F', 'M']",40.732254493367876,-74.00030814755975,0.0,0.0,0.0,0.0
Atlantic Av-Barclay's Center,"['D', 'N', 'Q', 'R']",40.683665667279435,-73.97880999956767,0.0,0.0,0.0,0.0
Tremont Av,"['B', 'D']",40.850409999510234,-73.90522700122354,0.0,0.0,0.0,0.0
170 St,"['B', 'D']",40.83930599964156,-73.91339999846983,0.0,0.0,0.0,0.0
Fordham Rd,"['B', 'D']",40.861295998683495,-73.89774900102401,0.0,0.0,0.0,0.0
Bedford Park Blvd,"['B', 'D']",40.87324399861646,-73.88713799889574,0.0,0.0,0.0,0.0
Norwood-205 St,['D'],40.87481100011182,-73.87885499918691,0.0,0.0,0.0,0.0
145 St,"['A', 'B', 'C', 'D']",40.824766360871905,-73.94408792823116,0.0,0.0,0.0,0.0
155 St,"['B', 'D']",40.8301349999812,-73.93820899811622,0.0,0.0,0.0,0.0
161 St-Yankee Stadium,"['B', 'D']",40.827904998845845,-73.92565099775477,0.0,0.0,0.0,0.0
50 St,['D'],40.636260890961395,-73.9946587805514,0.0,0.0,0.0,0.0
25 Av,['D'],40.59770366695856,-73.98682900011477,0.0,0.0,0.0,0.0
Bay Pky,['D'],40.601950461572315,-73.9936762000529,0.0,0.0,0.0,0.0
79 St,['D'],40.61315892569516,-74.00058287431507,0.0,0.0,0.0,0.0
71 St,['D'],40.61925870977273,-73.99884094850685,0.0,0.0,0.0,0.0
20 Av,['D'],40.60467699816932,-73.99817432157568,0.0,0.0,0.0,0.0
18 Av,['D'],40.60773573171741,-74.00159259239406,0.0,0.0,0.0,0.0
62 St,['D'],40.626224462922195,-73.99685724994863,0.0,0.0,0.0,0.0
Bay 50 St,['D'],40.58884066651933,-73.98376500045946,0.0,0.0,0.0,0.0
7 Av,"['B', 'D', 'E']",40.76297015245628,-73.98169782344476,0.0,0.0,0.0,0.0
47-50 Sts-Rockefeller Ctr,"['B', 'D', 'F', 'M']",40.75864100159815,-73.98133100227702,0.0,0.0,0.0,0.0
59 St-Columbus Circle,"['A', 'B', 'C', 'D']",40.768249531776064,-73.98164872301398,0.0,0.0,0.0,0.0
Herald Sq-34 St,"['B', 'D', 'F', 'M']",40.74978939990011,-73.98777189072918,0.0,0.0,0.0,0.0
Prospect Av,"['D', 'N', 'R']",40.66541366712979,-73.99287200067424,0.0,0.0,0.0,0.0
4 Av-9 St,"['D', 'N', 'R']",40.670846666842756,-73.98830199974512,0.0,0.0,0.0,0.0
36 St,"['D', 'N', 'R']",40.65514366633887,-74.00354899951809,0.0,0.0,0.0,0.0
9 Av,['D'],40.64648407726636,-73.99444874451204,0.0,0.0,0.0,0.0
Ft Hamilton Pkwy,['D'],40.640912711444656,-73.9942022375285,0.0,0.0,0.0,0.0
25 St,"['D', 'N', 'R']",40.66039666692321,-73.99809099974297,0.0,0.0,0.0,0.0
125 St,"['A', 'B', 'C', 'D']",40.811071672994565,-73.95224799734774,0.0,0.0,0.0,0.0
Grand St,"['B', 'D']",40.71826699954992,-73.99375299913589,0.0,0.0,0.0,0.0
Broadway-Lafayette St,"['B', 'D', 'F', 'M']",40.725296998738045,-73.99620399876055,0.0,0.0,0.0,0.0
Coney Island-Stillwell Av,"['D', 'F', 'N', 'Q']",40.57728100006751,-73.9812359981396,0.0,0.0,0.0,0.0
