NAME,LINE,lang,long,bound1,reason1,bound2,reason2
42 St-Bryant Pk,"['B', 'D', 'F', 'M']",40.754184001312545,-73.98459099904711,0.0,0.0,0.0,0.0
Kew Gardens-Union Tpke,"['E', 'F']",40.714034819571026,-73.8303702709878,0.0,0.0,0.0,0.0
Ditmas Av,['F'],40.63611866666291,-73.97817199965161,0.0,0.0,0.0,0.0
W 4 St-Washington Sq (Lower),"['B', 'D', 'F', 'M']",40.732254493367876,-74.00030814755975,0.0,0.0,0.0,0.0
15 St-Prospect Park,"['F', 'G']",40.66003568810021,-73.97973580592873,0.0,0.0,0.0,0.0
7 Av,"['F', 'G']",40.66624469001985,-73.98025117900944,0.0,0.0,0.0,0.0
Ft Hamilton Pkwy,"['F', 'G']",40.65078166803418,-73.97577599917474,0.0,0.0,0.0,0.0
Church Av,"['F', 'G']",40.64427200012998,-73.97972116229084,0.0,0.0,0.0,0.0
75 Av,"['E', 'F']",40.71804465348743,-73.83692369387158,0.0,0.0,0.0,0.0
Parsons Blvd,['F'],40.707571999615695,-73.80328900021885,0.0,0.0,0.0,0.0
169 St,['F'],40.710517502784,-73.79347419927721,0.0,0.0,0.0,0.0
W 8 St-NY Aquarium,"['F', 'Q']",40.576033818103646,-73.97595787413822,0.0,0.0,0.0,0.0
Briarwood-Van Wyck Blvd,"['E', 'F']",40.70916181536946,-73.82069263637443,0.0,0.0,0.0,0.0
Forest Hills-71 Av,"['E', 'F', 'M', 'R']",40.72159430953587,-73.84451672012669,0.0,0.0,0.0,0.0
Sutphin Blvd,['F'],40.70541799906764,-73.81083299897232,0.0,0.0,0.0,0.0
Jamaica-179 St,['F'],40.712645666744045,-73.78381700176453,0.0,0.0,0.0,0.0
18 Av,['F'],40.62975466638584,-73.97697099965796,0.0,0.0,0.0,0.0
Avenue U,['F'],40.59592482551748,-73.97337641974885,0.0,0.0,0.0,0.0
Kings Hwy,['F'],40.603258405128265,-73.9723553085244,0.0,0.0,0.0,0.0
Neptune Av,['F'],40.580738758491464,-73.97459272818807,0.0,0.0,0.0,0.0
Avenue X,['F'],40.589449666625285,-73.97426599968905,0.0,0.0,0.0,0.0
Avenue P,['F'],40.608842808949916,-73.97300281528751,0.0,0.0,0.0,0.0
Avenue N,['F'],40.61435671190883,-73.97404850873143,0.0,0.0,0.0,0.0
Bay Pky,['F'],40.62073162316788,-73.9752569782215,0.0,0.0,0.0,0.0
Avenue I,['F'],40.62501744019143,-73.97606933170925,0.0,0.0,0.0,0.0
21 St-Queensbridge,['F'],40.75373927087553,-73.94193761457447,0.0,0.0,0.0,0.0
47-50 Sts-Rockefeller Ctr,"['B', 'D', 'F', 'M']",40.75864100159815,-73.98133100227702,0.0,0.0,0.0,0.0
57 St,['F'],40.76408500081713,-73.97736800085171,0.0,0.0,0.0,0.0
Lexington Av-63 St,"['F', 'Q']",40.76461809442373,-73.96608964413245,0.0,0.0,0.0,0.0
Roosevelt Island-Main St,['F'],40.75917199967108,-73.95323499978866,0.0,0.0,0.0,0.0
23 St,"['F', 'M']",40.742954317826005,-73.99276500471389,0.0,0.0,0.0,0.0
Herald Sq-34 St,"['B', 'D', 'F', 'M']",40.74978939990011,-73.98777189072918,0.0,0.0,0.0,0.0
Jay St-MetroTech,"['A', 'C', 'F']",40.692470636847084,-73.98721815267317,0.0,0.0,0.0,0.0
East Broadway,['F'],40.713855001020406,-73.99017700122197,0.0,0.0,0.0,0.0
Delancey St-Essex St,['F'],40.71868074219453,-73.98807806807719,0.0,0.0,0.0,0.0
Lower East Side-2 Av,['F'],40.72340166574911,-73.98993800003434,0.0,0.0,0.0,0.0
4 Av-9 St,"['F', 'G']",40.67027166728493,-73.98977899938897,0.0,0.0,0.0,0.0
Smith-9 Sts,"['F', 'G']",40.67364106090412,-73.99589172790934,0.0,0.0,0.0,0.0
Bergen St,"['F', 'G']",40.68611054725977,-73.99075649573565,0.0,0.0,0.0,0.0
Carroll St,"['F', 'G']",40.68027335170176,-73.99494697998841,0.0,0.0,0.0,0.0
Broadway-Lafayette St,"['B', 'D', 'F', 'M']",40.725296998738045,-73.99620399876055,0.0,0.0,0.0,0.0
Jackson Hts-Roosevelt Av,"['E', 'F', 'M', 'R']",40.74653969115889,-73.89129866519697,0.0,0.0,0.0,0.0
14 St,"['F', 'M']",40.73822799969515,-73.99620899921355,0.0,0.0,0.0,0.0
York St,['F'],40.699742667691574,-73.98688499993673,0.0,0.0,0.0,0.0
Coney Island-Stillwell Av,"['D', 'F', 'N', 'Q']",40.57728100006751,-73.9812359981396,0.0,0.0,0.0,0.0
