NAME,LINE,lang,long,bound1,reason1,bound2,reason2
DeKalb Av,"['B', 'D', 'N', 'Q', 'R']",40.690648119969794,-73.98177094440949,0.0,0.0,0.0,0.0
Union St,"['D', 'N', 'R']",40.67731566735096,-73.98310999909673,0.0,0.0,0.0,0.0
8 Av,['N'],40.634970999647166,-74.01151599772157,0.0,0.0,0.0,0.0
36 Av,"['N', 'W']",40.7564420005104,-73.929861999118,0.0,0.0,0.0,0.0
Broadway,"['N', 'W']",40.761431998800546,-73.92582299919906,0.0,0.0,0.0,0.0
Times Sq-42 St,"['N', 'Q', 'R', 'W']",40.75461199851542,-73.98676800153976,0.0,0.0,0.0,0.0
Queensboro Plz,"['7', '7 Express', 'N', 'W']",40.750635651014804,-73.9401635351909,0.0,0.0,0.0,0.0
Atlantic Av-Barclay's Center,"['D', 'N', 'Q', 'R']",40.683665667279435,-73.97880999956767,0.0,0.0,0.0,0.0
28 St,"['N', 'Q', 'R', 'W']",40.74545399979951,-73.98869800128737,0.0,0.0,0.0,0.0
Herald Sq-34 St,"['N', 'Q', 'R', 'W']",40.74964456009442,-73.9879368338264,0.0,0.0,0.0,0.0
39 Av,"['N', 'W']",40.75276306140845,-73.93285137679598,0.0,0.0,0.0,0.0
Astoria Blvd,"['N', 'W']",40.77003699949086,-73.91809500109238,0.0,0.0,0.0,0.0
Astoria-Ditmars Blvd,"['N', 'W']",40.775035666523664,-73.9120340001031,0.0,0.0,0.0,0.0
30 Av,"['N', 'W']",40.76677866673298,-73.9214790001739,0.0,0.0,0.0,0.0
Ft Hamilton Pkwy,['N'],40.63138566722445,-74.00535100046275,0.0,0.0,0.0,0.0
20 Av,['N'],40.617108999866005,-73.98452199846113,0.0,0.0,0.0,0.0
18 Av,['N'],40.620686997680025,-73.99045399865993,0.0,0.0,0.0,0.0
New Utrecht Av,['N'],40.62484166725887,-73.99635300025969,0.0,0.0,0.0,0.0
Avenue U,['N'],40.597235999920436,-73.97908400099428,0.0,0.0,0.0,0.0
Kings Hwy,['N'],40.60405899980493,-73.98037300229343,0.0,0.0,0.0,0.0
Gravesend-86 St,['N'],40.59246500088859,-73.97818899936274,0.0,0.0,0.0,0.0
Bay Pky,['N'],40.61145578989005,-73.98178001069293,0.0,0.0,0.0,0.0
49 St,"['N', 'Q', 'R', 'W']",40.759801973870694,-73.98420956591096,0.0,0.0,0.0,0.0
57 St,"['N', 'Q', 'R', 'W']",40.76456552501829,-73.98072973372128,0.0,0.0,0.0,0.0
5 Av-59 St,"['N', 'R', 'W']",40.764810999755284,-73.97334700047045,0.0,0.0,0.0,0.0
Lexington Av-59 St,"['N', 'R', 'W']",40.762708855394564,-73.96737501711436,0.0,0.0,0.0,0.0
Jay St-MetroTech,"['N', 'R']",40.69225539645323,-73.98605667854612,0.0,0.0,0.0,0.0
Court St,"['N', 'R']",40.694196480776995,-73.99181830901125,0.0,0.0,0.0,0.0
Union Sq-14 St,"['N', 'Q', 'R', 'W']",40.73587226699812,-73.99053886181645,0.0,0.0,0.0,0.0
23 St,"['N', 'Q', 'R', 'W']",40.74130266729,-73.98934400102907,0.0,0.0,0.0,0.0
Prospect Av,"['D', 'N', 'R']",40.66541366712979,-73.99287200067424,0.0,0.0,0.0,0.0
4 Av-9 St,"['D', 'N', 'R']",40.670846666842756,-73.98830199974512,0.0,0.0,0.0,0.0
59 St,"['N', 'R']",40.6413616662838,-74.01788099953987,0.0,0.0,0.0,0.0
45 St,"['N', 'R']",40.648938666612814,-74.01000600074939,0.0,0.0,0.0,0.0
36 St,"['D', 'N', 'R']",40.65514366633887,-74.00354899951809,0.0,0.0,0.0,0.0
53 St,"['N', 'R']",40.64506866735981,-74.01403399986317,0.0,0.0,0.0,0.0
25 St,"['D', 'N', 'R']",40.66039666692321,-73.99809099974297,0.0,0.0,0.0,0.0
Prince St,"['N', 'Q', 'R', 'W']",40.72432866597571,-73.99770200045987,0.0,0.0,0.0,0.0
8 St-NYU,"['N', 'Q', 'R', 'W']",40.73046499853991,-73.99250799849149,0.0,0.0,0.0,0.0
Canal St,"['N', 'Q']",40.718814263587134,-74.00105471306033,0.0,0.0,0.0,0.0
Coney Island-Stillwell Av,"['D', 'F', 'N', 'Q']",40.57728100006751,-73.9812359981396,0.0,0.0,0.0,0.0
