NAME,LINE,lang,long,bound1,reason1,bound2,reason2
96 St,['Q'],40.784236650177654,-73.9470660219183,0.0,0.0,0.0,0.0
86 St,['Q'],40.77786104333163,-73.95177090964917,0.0,0.0,0.0,0.0
72 St,['Q'],40.76880251014895,-73.95836178682246,0.0,0.0,0.0,0.0
Lexington Av-63 St,"['F', 'Q']",40.76461809442373,-73.96608964413245,0.0,0.0,0.0,0.0
57 St,"['N', 'Q', 'R', 'W']",40.76456552501829,-73.98072973372128,0.0,0.0,0.0,0.0
49 St,"['N', 'Q', 'R', 'W']",40.759801973870694,-73.98420956591096,0.0,0.0,0.0,0.0
Times Sq-42 St,"['N', 'Q', 'R', 'W']",40.75461199851542,-73.98676800153976,0.0,0.0,0.0,0.0
Herald Sq-34 St,"['N', 'Q', 'R', 'W']",40.74964456009442,-73.9879368338264,0.0,0.0,0.0,0.0
28 St,"['N', 'Q', 'R', 'W']",40.74545399979951,-73.98869800128737,0.0,0.0,0.0,0.0
23 St,"['N', 'Q', 'R', 'W']",40.74130266729,-73.98934400102907,0.0,0.0,0.0,0.0
Union Sq-14 St,"['N', 'Q', 'R', 'W']",40.73587226699812,-73.99053886181645,0.0,0.0,0.0,0.0
8 St-NYU,"['N', 'Q', 'R', 'W']",40.73046499853991,-73.99250799849149,0.0,0.0,0.0,0.0
Prince St,"['N', 'Q', 'R', 'W']",40.72432866597571,-73.99770200045987,0.0,0.0,0.0,0.0
Canal St,"['N', 'Q']",40.718814263587134,-74.00105471306033,0.0,0.0,0.0,0.0
DeKalb Av,"['B', 'D', 'N', 'Q', 'R']",40.690648119969794,-73.98177094440949,0.0,0.0,0.0,0.0
Atlantic Av-Barclay's Center,"['D', 'N', 'Q', 'R']",40.683665667279435,-73.97880999956767,0.0,0.0,0.0,0.0
Atlantic Av-Barclay's Center,"['B', 'Q']",40.684488323453685,-73.97678343963167,0.0,0.0,0.0,0.0
7 Av,"['B', 'Q']",40.67710217983294,-73.97285279191024,0.0,0.0,0.0,0.0
Prospect Park,"['B', 'Q', 'S']",40.6616334551018,-73.96203130426609,0.0,0.0,0.0,0.0
Parkside Av,['Q'],40.65507304163716,-73.96145343987648,0.0,0.0,0.0,0.0
Church Av,"['B', 'Q']",40.65049324646484,-73.96288246192114,0.0,0.0,0.0,0.0
Beverly Rd,['Q'],40.64390459860419,-73.96435779623125,0.0,0.0,0.0,0.0
Cortelyou Rd,['Q'],40.6409401651401,-73.96379005505493,0.0,0.0,0.0,0.0
Newkirk Av,"['B', 'Q']",40.63514193733789,-73.96269486837261,0.0,0.0,0.0,0.0
Avenue H,['Q'],40.62920837758969,-73.96151793942495,0.0,0.0,0.0,0.0
Avenue J,['Q'],40.625022819915166,-73.96069316246925,0.0,0.0,0.0,0.0
Avenue M,['Q'],40.617397744443736,-73.9592431052215,0.0,0.0,0.0,0.0
Kings Hwy,"['B', 'Q']",40.608638645396006,-73.95760873538083,0.0,0.0,0.0,0.0
Avenue U,['Q'],40.59930895095475,-73.95581122316301,0.0,0.0,0.0,0.0
Neck Rd,['Q'],40.59532169111695,-73.95507827493762,0.0,0.0,0.0,0.0
Sheepshead Bay,"['B', 'Q']",40.58654754707536,-73.95405791257907,0.0,0.0,0.0,0.0
Brighton Beach,"['B', 'Q']",40.577710196642435,-73.96135378598797,0.0,0.0,0.0,0.0
Ocean Pkwy,['Q'],40.57631166708091,-73.96850099975177,0.0,0.0,0.0,0.0
W 8 St-NY Aquarium,"['F', 'Q']",40.576033818103646,-73.97595787413822,0.0,0.0,0.0,0.0
Coney Island-Stillwell Av,"['D', 'F', 'N', 'Q']",40.57728100006751,-73.9812359981396,0.0,0.0,0.0,0.0
