NAME,LINE,lang,long,bound1,reason1,bound2,reason2
65 St,"['E', 'M', 'R']",40.74971952935675,-73.8987883783301,0.0,0.0,0.0,0.0
36 St,"['E', 'M', 'R']",40.75196004401078,-73.92901818461539,0.0,0.0,0.0,0.0
DeKalb Av,"['B', 'D', 'N', 'Q', 'R']",40.690648119969794,-73.98177094440949,0.0,0.0,0.0,0.0
Union St,"['D', 'N', 'R']",40.67731566735096,-73.98310999909673,0.0,0.0,0.0,0.0
Elmhurst Av,"['E', 'M', 'R']",40.74237007972169,-73.8820347465864,0.0,0.0,0.0,0.0
67 Av,"['E', 'M', 'R']",40.726505475813006,-73.85286048434907,0.0,0.0,0.0,0.0
Grand Av-Newtown,"['E', 'M', 'R']",40.736813418197144,-73.87722085669182,0.0,0.0,0.0,0.0
Times Sq-42 St,"['N', 'Q', 'R', 'W']",40.75461199851542,-73.98676800153976,0.0,0.0,0.0,0.0
Atlantic Av-Barclay's Center,"['D', 'N', 'Q', 'R']",40.683665667279435,-73.97880999956767,0.0,0.0,0.0,0.0
28 St,"['N', 'Q', 'R', 'W']",40.74545399979951,-73.98869800128737,0.0,0.0,0.0,0.0
Herald Sq-34 St,"['N', 'Q', 'R', 'W']",40.74964456009442,-73.9879368338264,0.0,0.0,0.0,0.0
63 Dr-Rego Park,"['E', 'M', 'R']",40.729763972422425,-73.86161820097203,0.0,0.0,0.0,0.0
Woodhaven Blvd-Queens Mall,"['E', 'M', 'R']",40.73309737380972,-73.86943208612348,0.0,0.0,0.0,0.0
46 St,"['E', 'M', 'R']",40.756316952608096,-73.91352174995538,0.0,0.0,0.0,0.0
Northern Blvd,"['E', 'M', 'R']",40.752824829236076,-73.90606508052358,0.0,0.0,0.0,0.0
Forest Hills-71 Av,"['E', 'F', 'M', 'R']",40.72159430953587,-73.84451672012669,0.0,0.0,0.0,0.0
Steinway St,"['E', 'M', 'R']",40.75698735912575,-73.9205264716827,0.0,0.0,0.0,0.0
Queens Plz,"['E', 'M', 'R']",40.74891771986323,-73.93713823965695,0.0,0.0,0.0,0.0
77 St,['R'],40.629741666886915,-74.0255099996266,0.0,0.0,0.0,0.0
Bay Ridge Av,['R'],40.63496666682377,-74.02337699950728,0.0,0.0,0.0,0.0
Bay Ridge-95 St,['R'],40.61662166725951,-74.03087600085765,0.0,0.0,0.0,0.0
86 St,['R'],40.62268666715025,-74.0283979999864,0.0,0.0,0.0,0.0
49 St,"['N', 'Q', 'R', 'W']",40.759801973870694,-73.98420956591096,0.0,0.0,0.0,0.0
57 St,"['N', 'Q', 'R', 'W']",40.76456552501829,-73.98072973372128,0.0,0.0,0.0,0.0
5 Av-59 St,"['N', 'R', 'W']",40.764810999755284,-73.97334700047045,0.0,0.0,0.0,0.0
Lexington Av-59 St,"['N', 'R', 'W']",40.762708855394564,-73.96737501711436,0.0,0.0,0.0,0.0
Jay St-MetroTech,"['N', 'R']",40.69225539645323,-73.98605667854612,0.0,0.0,0.0,0.0
Court St,"['N', 'R']",40.694196480776995,-73.99181830901125,0.0,0.0,0.0,0.0
Union Sq-14 St,"['N', 'Q', 'R', 'W']",40.73587226699812,-73.99053886181645,0.0,0.0,0.0,0.0
23 St,"['N', 'Q', 'R', 'W']",40.74130266729,-73.98934400102907,0.0,0.0,0.0,0.0
Prospect Av,"['D', 'N', 'R']",40.66541366712979,-73.99287200067424,0.0,0.0,0.0,0.0
4 Av-9 St,"['D', 'N', 'R']",40.670846666842756,-73.98830199974512,0.0,0.0,0.0,0.0
59 St,"['N', 'R']",40.6413616662838,-74.01788099953987,0.0,0.0,0.0,0.0
45 St,"['N', 'R']",40.648938666612814,-74.01000600074939,0.0,0.0,0.0,0.0
36 St,"['D', 'N', 'R']",40.65514366633887,-74.00354899951809,0.0,0.0,0.0,0.0
53 St,"['N', 'R']",40.64506866735981,-74.01403399986317,0.0,0.0,0.0,0.0
25 St,"['D', 'N', 'R']",40.66039666692321,-73.99809099974297,0.0,0.0,0.0,0.0
Prince St,"['N', 'Q', 'R', 'W']",40.72432866597571,-73.99770200045987,0.0,0.0,0.0,0.0
8 St-NYU,"['N', 'Q', 'R', 'W']",40.73046499853991,-73.99250799849149,0.0,0.0,0.0,0.0
City Hall,"['R', 'W']",40.71327233111697,-74.00698581780337,0.0,0.0,0.0,0.0
Canal St,"['R', 'W']",40.71946500105898,-74.0018260000577,0.0,0.0,0.0,0.0
Whitehall St,"['R', 'W']",40.703142373599135,-74.0130072374272,0.0,0.0,0.0,0.0
Rector St,"['R', 'W']",40.707744756294474,-74.01297456253795,0.0,0.0,0.0,0.0
Cortlandt St,"['R', 'W']",40.7105129841524,-74.01113196473266,0.0,0.0,0.0,0.0
Jackson Hts-Roosevelt Av,"['E', 'F', 'M', 'R']",40.74653969115889,-73.89129866519697,0.0,0.0,0.0,0.0
