NAME,LINE,lang,long,bound1,reason1,bound2,reason2
Whitehall St,"['R', 'W']",40.703142373599135,-74.0130072374272,0.0,0.0,0.0,0.0
Rector St,"['R', 'W']",40.707744756294474,-74.01297456253795,0.0,0.0,0.0,0.0
Cortlandt St,"['R', 'W']",40.7105129841524,-74.01113196473266,0.0,0.0,0.0,0.0
City Hall,"['R', 'W']",40.71327233111697,-74.00698581780337,0.0,0.0,0.0,0.0
Canal St,"['R', 'W']",40.71946500105898,-74.0018260000577,0.0,0.0,0.0,0.0
Prince St,"['N', 'Q', 'R', 'W']",40.72432866597571,-73.99770200045987,0.0,0.0,0.0,0.0
8 St-NYU,"['N', 'Q', 'R', 'W']",40.73046499853991,-73.99250799849149,0.0,0.0,0.0,0.0
Union Sq-14 St,"['N', 'Q', 'R', 'W']",40.73587226699812,-73.99053886181645,0.0,0.0,0.0,0.0
23 St,"['N', 'Q', 'R', 'W']",40.74130266729,-73.98934400102907,0.0,0.0,0.0,0.0
28 St,"['N', 'Q', 'R', 'W']",40.74545399979951,-73.98869800128737,0.0,0.0,0.0,0.0
Herald Sq-34 St,"['N', 'Q', 'R', 'W']",40.74964456009442,-73.9879368338264,0.0,0.0,0.0,0.0
Times Sq-42 St,"['N', 'Q', 'R', 'W']",40.75461199851542,-73.98676800153976,0.0,0.0,0.0,0.0
49 St,"['N', 'Q', 'R', 'W']",40.759801973870694,-73.98420956591096,0.0,0.0,0.0,0.0
57 St,"['N', 'Q', 'R', 'W']",40.76456552501829,-73.98072973372128,0.0,0.0,0.0,0.0
5 Av-59 St,"['N', 'R', 'W']",40.764810999755284,-73.97334700047045,0.0,0.0,0.0,0.0
Lexington Av-59 St,"['N', 'R', 'W']",40.762708855394564,-73.96737501711436,0.0,0.0,0.0,0.0
Queensboro Plz,"['7', '7 Express', 'N', 'W']",40.750635651014804,-73.9401635351909,0.0,0.0,0.0,0.0
39 Av,"['N', 'W']",40.75276306140845,-73.93285137679598,0.0,0.0,0.0,0.0
36 Av,"['N', 'W']",40.7564420005104,-73.929861999118,0.0,0.0,0.0,0.0
Broadway,"['N', 'W']",40.761431998800546,-73.92582299919906,0.0,0.0,0.0,0.0
30 Av,"['N', 'W']",40.76677866673298,-73.9214790001739,0.0,0.0,0.0,0.0
Astoria Blvd,"['N', 'W']",40.77003699949086,-73.91809500109238,0.0,0.0,0.0,0.0
Astoria-Ditmars Blvd,"['N', 'W']",40.775035666523664,-73.9120340001031,0.0,0.0,0.0,0.0
