NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Forest Hills-71 Av,40.72159430953587,-73.84451672012669,0.0,0.0,0.0,0.0
67 Av,40.726505475813006,-73.85286048434907,0.0,0.0,0.0,0.0
63 Dr-Rego Park,40.729763972422425,-73.86161820097203,0.0,0.0,0.0,0.0
Woodhaven Blvd-Queens Mall,40.73309737380972,-73.86943208612348,0.0,0.0,0.0,0.0
Grand Av-Newtown,40.736813418197144,-73.87722085669182,0.0,0.0,0.0,0.0
Elmhurst Av,40.74237007972169,-73.8820347465864,0.0,0.0,0.0,0.0
Jackson Hts-Roosevelt Av,40.74653969115889,-73.89129866519697,0.0,0.0,0.0,0.0
65 St,40.74971952935675,-73.8987883783301,0.0,0.0,0.0,0.0
Northern Blvd,40.752824829236076,-73.90606508052358,0.0,0.0,0.0,0.0
46 St,40.756316952608096,-73.91352174995538,0.0,0.0,0.0,0.0
Steinway St,40.75698735912575,-73.9205264716827,0.0,0.0,0.0,0.0
36 St,40.75196004401078,-73.92901818461539,0.0,0.0,0.0,0.0
Queens Plz,40.74891771986323,-73.93713823965695,0.0,0.0,0.0,0.0
Court Sq-23 St,40.747768121414325,-73.94605470266329,0.0,0.0,0.0,0.0
Lexington Av-53 St,40.75746830782865,-73.96907237490204,0.0,0.0,0.0,0.0
5 Av-53 St,40.76008683231326,-73.9752485052734,0.0,0.0,0.0,0.0
47-50 Sts-Rockefeller Ctr,40.75864100159815,-73.98133100227702,0.0,0.0,0.0,0.0
42 St-Bryant Pk,40.754184001312545,-73.98459099904711,0.0,0.0,0.0,0.0
Herald Sq-34 St,40.74978939990011,-73.98777189072918,0.0,0.0,0.0,0.0
23 St,40.742954317826005,-73.99276500471389,0.0,0.0,0.0,0.0
14 St,40.73822799969515,-73.99620899921355,0.0,0.0,0.0,0.0
W 4 St-Washington Sq (Lower),40.732254493367876,-74.00030814755975,0.0,0.0,0.0,0.0
Broadway-Lafayette St,40.725296998738045,-73.99620399876055,0.0,0.0,0.0,0.0
Delancey St-Essex St,40.71830605618619,-73.98740940202974,0.0,0.0,0.0,0.0
Marcy Av,40.708383000017925,-73.95783200075729,0.0,0.0,0.0,0.0
Hewes St,40.706889998054,-73.95348800038457,0.0,0.0,0.0,0.0
Lorimer St,40.703844000042096,-73.94735499884204,0.0,0.0,0.0,0.0
Flushing Av,40.70040440298112,-73.94137734838365,0.0,0.0,0.0,0.0
Myrtle Av,40.6971950005145,-73.9356230012996,0.0,0.0,0.0,0.0
Central Av,40.69787300011831,-73.92724299902838,0.0,0.0,0.0,0.0
Knickerbocker Av,40.69866000123805,-73.91972000188625,0.0,0.0,0.0,0.0
Myrtle-Wyckoff Avs,40.69945400090837,-73.91217899939602,0.0,0.0,0.0,0.0
Seneca Av,40.70291899894902,-73.90758199885423,0.0,0.0,0.0,0.0
Forest Av,40.70441200087814,-73.90307500005954,0.0,0.0,0.0,0.0
Fresh Pond Rd,40.70622599823048,-73.8958980017196,0.0,0.0,0.0,0.0
Middle Village-Metropolitan Av,40.711431305058255,-73.88957722978091,0.0,0.0,0.0,0.0
