NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Times Sq-42 St,40.755983000570076,-73.98622899953202,0.0,0.0,0.0,0.0
Grand Central-42 St,40.75276866674217,-73.97918899989101,0.0,0.0,0.0,0.0
Franklin Av-Fulton St,40.68059566598263,-73.95582700110425,0.0,0.0,0.0,0.0
Park Pl,40.67477166685263,-73.95762400074634,0.0,0.0,0.0,0.0
Botanic Garden,40.670342666584396,-73.95924499945693,0.0,0.0,0.0,0.0
Prospect Park,40.6616334551018,-73.96203130426609,0.0,0.0,0.0,0.0
Euclid Av,40.675376998239365,-73.87210600099675,0.0,0.0,0.0,0.0
Grant Av,40.67704400054478,-73.86504999877702,0.0,0.0,0.0,0.0
80 St,40.67937100115432,-73.85899200206335,0.0,0.0,0.0,0.0
88 St,40.67984300135503,-73.85147000026086,0.0,0.0,0.0,0.0
Rockaway Blvd,40.680428999588415,-73.8438529979573,0.0,0.0,0.0,0.0
104 St,40.681711001091195,-73.83768300060997,0.0,0.0,0.0,0.0
111 St,40.68433100001238,-73.83216299845388,0.0,0.0,0.0,0.0
Ozone Park-Lefferts Blvd,40.68595099878361,-73.82579799906613,0.0,0.0,0.0,0.0
Broad Channel,40.60840218069683,-73.81583268782963,0.0,0.0,0.0,0.0
Beach 90 St,40.58809156457325,-73.81365140419632,0.0,0.0,0.0,0.0
Beach 98 St,40.58538569133279,-73.82052058959523,0.0,0.0,0.0,0.0
Beach 105 St,40.58326843810286,-73.82758075034528,0.0,0.0,0.0,0.0
Rockaway Park-Beach 116 St,40.580955865573515,-73.83559008701239,0.0,0.0,0.0,0.0
