NAME,lang,long,top_to_bottom,reason1,bottom_to_top,reason2
Jamaica Ctr-Parsons / Archer,40.70206737621188,-73.80109632298924,0.0,0.0,Not working,platform closed
Sutphin Blvd-Archer Av,40.700382424235,-73.80800471963833,0.0,0.0,0.0,0.0
121 St,40.700481998515315,-73.82834900017954,0.0,0.0,0.0,0.0
104-102 Sts,40.69516599823373,-73.84443500029684,0.0,0.0,0.0,0.0
Woodhaven Blvd,40.69370399880105,-73.85205199740794,0.0,0.0,0.0,0.0
75 St-Eldert Ln,40.691290001246735,-73.86728799944963,0.0,0.0,0.0,0.0
Crescent St,40.68315265707736,-73.87392925215778,0.0,0.0,0.0,0.0
Norwood Av,40.68152000045683,-73.87962599910783,0.0,0.0,0.0,0.0
Van Siclen Av,40.67802821447783,-73.89165772702445,0.0,0.0,0.0,0.0
Broadway Junction,40.67936600147369,-73.90428999746412,0.0,0.0,0.0,0.0
Chauncey St,40.68285130087804,-73.91038357033376,0.0,0.0,0.0,0.0
Gates Av,40.689583999013905,-73.92215600150752,0.0,0.0,0.0,0.0
Myrtle Av,40.6971950005145,-73.9356230012996,0.0,0.0,0.0,0.0
Marcy Av,40.708383000017925,-73.95783200075729,0.0,0.0,0.0,0.0
Delancey St-Essex St,40.71830605618619,-73.98740940202974,0.0,0.0,0.0,0.0
Bowery,40.720246883147254,-73.99380690654237,0.0,0.0,0.0,0.0
Canal St,40.71817387697391,-73.99982638545937,0.0,0.0,0.0,0.0
Chambers St,40.71323378962671,-74.00340673031336,0.0,0.0,0.0,0.0
Fulton St,40.71002266658424,-74.00793800110387,0.0,0.0,0.0,0.0
Broad St,40.706476001106005,-74.01105599991755,0.0,0.0,0.0,0.0
